arjun_m,1130510426493634,SAVINGS,39200.0,ACTIVE,2025-01-03,Mango Bank Main Branch,MANG0001234
meera_n,4061753471185791,SAVINGS,494300.0,ACTIVE,2025-01-08,Mango Bank Kowdiar Branch,MANG0001241
rahul_s,5295055477619147,CURRENT,806300.0,ACTIVE,2025-01-13,Mango Bank Kochi Main Branch,MANG0001258
ananya_k,7614147583507909,SAVINGS,122400.0,ACTIVE,2025-01-18,Mango Bank Kozhikode Branch,MANG0001265
rohan_t,2954332594393632,CURRENT,643700.0,ACTIVE,2025-01-23,Mango Bank Main Branch,MANG0001234
diya_j,9894537105568445,SAVINGS,45200.0,ACTIVE,2025-01-28,Mango Bank Kowdiar Branch,MANG0001241
vivek_p,1678331407299434,CURRENT,484900.0,ACTIVE,2025-02-02,Mango Bank Kochi Main Branch,MANG0001258
isha_v,3593216199916941,SAVINGS,442800.0,FREEZE,2025-02-07,Mango Bank Kozhikode Branch,MANG0001265
adithya_r,9585448037270901,CURRENT,290600.0,ACTIVE,2025-02-12,Mango Bank Main Branch,MANG0001234
neha_t,9791046908277560,SAVINGS,66000.0,ACTIVE,2025-02-17,Mango Bank Kowdiar Branch,MANG0001241
kiran_b,2879997376955853,SAVINGS,411400.0,ACTIVE,2025-02-22,Mango Bank Kochi Main Branch,MANG0001258
sana_a,1117896800286705,SAVINGS,434300.0,ACTIVE,2025-02-27,Mango Bank Kozhikode Branch,MANG0001265
manu_r,8695869659955111,CURRENT,446800.0,FREEZE,2025-03-04,Mango Bank Main Branch,MANG0001234
fathima_h,6266461900404726,SAVINGS,514500.0,ACTIVE,2025-03-09,Mango Bank Kowdiar Branch,MANG0001241
dev_p,9520267036618112,SAVINGS,49900.0,ACTIVE,2025-03-14,Mango Bank Kochi Main Branch,MANG0001258
