arjun_m,1130510426493634,DEPOSIT,185000.0,185000.0,,1130510426493634,SUCCESS,Initial account funding,2025-01-03 07:31:00
meera_n,4061753471185791,DEPOSIT,92000.0,92000.0,,4061753471185791,SUCCESS,Initial account funding,2025-01-08 06:49:00
rahul_s,5295055477619147,DEPOSIT,425000.0,425000.0,,5295055477619147,SUCCESS,Initial account funding,2025-01-13 02:32:00
ananya_k,7614147583507909,DEPOSIT,76000.0,76000.0,,7614147583507909,SUCCESS,Initial account funding,2025-01-18 02:26:00
rohan_t,2954332594393632,DEPOSIT,238000.0,238000.0,,2954332594393632,SUCCESS,Initial account funding,2025-01-23 07:28:00
diya_j,9894537105568445,DEPOSIT,54000.0,54000.0,,9894537105568445,SUCCESS,Initial account funding,2025-01-28 04:18:00
vivek_p,1678331407299434,DEPOSIT,610000.0,610000.0,,1678331407299434,SUCCESS,Initial account funding,2025-02-02 04:56:00
isha_v,3593216199916941,DEPOSIT,128000.0,128000.0,,3593216199916941,SUCCESS,Initial account funding,2025-02-07 05:04:00
adithya_r,9585448037270901,DEPOSIT,315000.0,315000.0,,9585448037270901,SUCCESS,Initial account funding,2025-02-12 07:16:00
neha_t,9791046908277560,DEPOSIT,68000.0,68000.0,,9791046908277560,SUCCESS,Initial account funding,2025-02-17 04:05:00
kiran_b,2879997376955853,DEPOSIT,147000.0,147000.0,,2879997376955853,SUCCESS,Initial account funding,2025-02-22 06:49:00
sana_a,1117896800286705,DEPOSIT,205000.0,205000.0,,1117896800286705,SUCCESS,Initial account funding,2025-02-27 02:46:00
sana_a,1117896800286705,DEPOSIT,55700.0,260700.0,,1117896800286705,SUCCESS,Freelance payment,2025-03-02 00:04:01
manu_r,8695869659955111,DEPOSIT,355000.0,355000.0,,8695869659955111,SUCCESS,Initial account funding,2025-03-04 05:05:00
fathima_h,6266461900404726,DEPOSIT,83000.0,83000.0,,6266461900404726,SUCCESS,Initial account funding,2025-03-09 06:54:00
diya_j,9894537105568445,DEPOSIT,800.0,54800.0,,9894537105568445,SUCCESS,Freelance payment,2025-03-12 13:48:31
dev_p,9520267036618112,DEPOSIT,272000.0,272000.0,,9520267036618112,SUCCESS,Initial account funding,2025-03-14 03:57:00
manu_r,8695869659955111,WITHDRAWAL,25800.0,329200.0,8695869659955111,,SUCCESS,Cash withdrawal,2025-03-16 12:40:54
sana_a,1117896800286705,DEPOSIT,7600.0,268300.0,,1117896800286705,SUCCESS,Cash deposit,2025-03-17 10:47:27
isha_v,3593216199916941,DEPOSIT,3200.0,131200.0,,3593216199916941,SUCCESS,Salary credit,2025-03-20 13:15:59
adithya_r,9585448037270901,DEBIT,19300.0,295700.0,9585448037270901,2954332594393632,SUCCESS,Transfer to Rohan Thomas,2025-03-24 14:22:05
rohan_t,2954332594393632,CREDIT,19300.0,257300.0,9585448037270901,2954332594393632,SUCCESS,Transfer from Adithya Raj,2025-03-24 14:22:06
neha_t,9791046908277560,WITHDRAWAL,56200.0,11800.0,9791046908277560,,SUCCESS,Household expense,2025-03-26 19:11:55
diya_j,9894537105568445,DEBIT,49800.0,5000.0,9894537105568445,5295055477619147,SUCCESS,Transfer to Rahul Sharma,2025-03-29 23:35:52
rahul_s,5295055477619147,CREDIT,49800.0,474800.0,9894537105568445,5295055477619147,SUCCESS,Transfer from Diya Joseph,2025-03-29 23:35:53
